Year,Month,Town,Category,Value
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
2019,04,CLEMENTI,Minimum Area,44
